id,name,domain,fit_score,reason
"336942331640","Builtech Services, LLC","builtechllc.com","31","MANUAL: no diversity/SBLO page found"
"336952904423","Wolgast Corporation","wolgast.com","31","MANUAL: no diversity/SBLO page found"
"337261739708","Hirsch Construction Corp.","hirschcorp.com","31","MANUAL: no diversity/SBLO page found"
"337427078856","Decima LLC","decimaai.com","31","MANUAL: no diversity/SBLO page found"
"341154895609","TARGET LOGISTICS, INC.","targetlogisticsusa.com","31","MANUAL: no diversity/SBLO page found"
"332586621643","Amstar Inc.","amstarincgc.com","30","MANUAL: no diversity/SBLO page found"
"337007079155","RCS Construction","rcsconstruction.com","30","MANUAL: no diversity/SBLO page found"
"340660872920","","plcgc2019.com","30","MANUAL: 40s crawl ceiling hit (TIMEOUT: company plcgc2019.com exceeded 40000ms)"
"346290083523","IEI General Contractors","ieigc.com","30","MANUAL: 40s crawl ceiling hit (TIMEOUT: company ieigc.com exceeded 40000ms)"
"318911631076","Ames Construction","amesconstruction.com","29","MANUAL: no diversity/SBLO page found"
"324929357529","KNIGHT SOLUTIONS","knightsolutionsfirst.com","29","MANUAL: no diversity/SBLO page found"
"329667997420","Chasse Building Team","chasse.us","29","MANUAL: no diversity/SBLO page found"
"332014507759","Verdex Construction","verdex.com","29","MANUAL: no diversity/SBLO page found"
"332130794180","P&L General Contractors","pnlgencon.com","29","MANUAL: no diversity/SBLO page found"
"332194049756","Peak Construction","peakconstruction.com","29","MANUAL: no diversity/SBLO page found"
"332205492925","J.R. Abbott Construction","jrabbott.com","29","MANUAL: no diversity/SBLO page found"
"332355911404","Keystone Plus Construction","keystonedc.com","29","MANUAL: watchdog force-kill (CLOSE_HUNG: keystonedc.com ())"
"334486363867","One Corner Construction","onecornerconstruction.com","29","MANUAL: no diversity/SBLO page found"
"336942332620","Catamount Constructors, Inc.","catamountinc.com","29","MANUAL: no diversity/SBLO page found"
"341136043756","CONSOLIDATED INSTALLATION SUPPORT, LLC","vetcis.com","29","MANUAL: watchdog force-kill (CLOSE_HUNG: vetcis.com ())"
"345184909039","IAW CONSTRUCTION, INC.","jmnahum151n9","29","MANUAL: 40s crawl ceiling hit (TIMEOUT: company jmnahum151n9 exceeded 40000ms)"
"345625358072","Jerdon Construction","jerdonconstruction.com","29","MANUAL: no diversity/SBLO page found"
"345638263497","MBM Contracting","mbmcontracting.com","29","MANUAL: no diversity/SBLO page found"
"346172648178","Harvey-Cleary Builders","harveycleary.com","29","MANUAL: no diversity/SBLO page found"
"347925665509","Kraus-Anderson Construction","krausanderson.com","29","MANUAL: no diversity/SBLO page found"
"331823797993","Straticon","straticon.com","28","MANUAL: no diversity/SBLO page found"
"331825646301","Crawford Merz","crawfordmerz.com","28","MANUAL: no diversity/SBLO page found"
"331830984401","Structura","structurainc.com","28","MANUAL: no diversity/SBLO page found"
"335253783281","Cleveland Construction","clevelandconstruction.com","28","MANUAL: no diversity/SBLO page found"
"340693444297","Premier Vet Services LLC","premiervetserv.com","28","MANUAL: no diversity/SBLO page found"
"345653779172","RJM Construction","rjmconstruction.com","28","MANUAL: no diversity/SBLO page found"
"346178057935","Barnhart-Reese Construction","","28","MANUAL: no domain on record"
"347099697901","K-Con Inc.","kconinc.com","28","MANUAL: no diversity/SBLO page found"
